crop_name,season,region,year,area_hectares,rainfall_mm,temperature_celsius,fertilizer_amount_kg,actual_yield_kg
wheat,belg,Afar,2023,19.76,1193.2,33.8,178.3,54048.9
sesame,belg,Amhara,2022,9.28,1427.7,31.0,55.5,9054.9
sorghum,belg,Tigray,2016,14.41,651.7,18.4,178.6,28718.9
maize,meher,Amhara,2018,7.97,529.2,15.3,83.0,23408.5
teff,meher,Tigray,2021,18.14,1176.1,27.4,171.3,40231.7
sesame,belg,Oromia,2020,6.32,885.0,32.3,167.1,5252.7
sorghum,belg,Amhara,2019,9.0,343.5,18.4,135.8,17880.1
sesame,meher,Tigray,2017,19.62,1101.2,32.7,118.4,18307.9
sesame,meher,Tigray,2017,1.48,868.7,15.3,65.4,1114.3
sesame,belg,Tigray,2019,16.78,1005.5,28.7,10.4,13073.9
maize,meher,Oromia,2018,4.39,330.6,13.8,25.2,12513.6
maize,meher,Tigray,2019,15.45,551.7,25.2,149.6,63259.0
barley,meher,Sidama,2015,18.61,1163.7,32.7,75.1,42838.8
sorghum,meher,Sidama,2018,2.49,1458.7,31.3,120.1,7590.7
teff,belg,Sidama,2021,13.4,403.4,26.2,2.5,23184.0
sesame,belg,Oromia,2021,19.24,1253.4,30.7,141.5,18232.3
barley,belg,Tigray,2021,16.6,1188.7,18.1,49.1,36403.0
maize,belg,Tigray,2018,15.13,1154.8,26.7,67.3,45607.2
chickpea,meher,SNNPR,2019,7.14,1620.5,27.5,55.3,10632.8
teff,meher,Oromia,2018,14.54,1032.9,29.0,138.1,24345.2
teff,meher,SNNPR,2018,8.39,665.0,26.6,73.8,11360.3
coffee,belg,Afar,2023,6.95,1354.3,16.8,50.3,8573.4
maize,meher,Amhara,2018,14.9,714.7,24.7,152.0,55446.5
barley,meher,Amhara,2019,4.94,569.2,10.4,106.8,8346.2
barley,meher,Afar,2022,2.5,318.4,17.1,95.7,6238.0
coffee,meher,Oromia,2019,18.85,1016.6,30.6,80.1,23145.5
teff,meher,Amhara,2024,19.01,427.8,16.2,111.6,32039.9
sesame,meher,Sidama,2021,9.29,964.1,31.5,198.0,9924.2
maize,meher,Afar,2018,5.66,421.8,16.0,110.4,21866.3
wheat,meher,Tigray,2022,13.94,1004.9,10.8,57.6,32234.0
maize,meher,SNNPR,2024,13.39,1700.5,20.6,108.9,63503.1
wheat,belg,Amhara,2016,1.66,1488.9,24.9,164.8,5618.6
chickpea,belg,Afar,2021,18.88,1050.7,22.3,16.1,21744.3
teff,belg,Afar,2020,12.27,338.8,15.7,134.9,21469.8
teff,belg,Sidama,2015,15.38,562.8,23.0,88.4,21242.0
barley,meher,Sidama,2021,12.88,1037.6,12.3,69.6,22186.2
wheat,belg,Tigray,2022,6.12,1717.8,30.3,110.0,20697.8
chickpea,meher,SNNPR,2019,6.8,1755.3,20.1,102.9,13272.2
chickpea,belg,Oromia,2018,10.61,1234.0,22.5,88.4,15587.0
teff,meher,SNNPR,2023,3.05,732.0,32.0,96.9,5725.3
sorghum,meher,SNNPR,2023,0.77,912.0,15.6,168.3,1883.3
maize,belg,Oromia,2017,10.22,1374.9,22.7,54.7,43319.8
sorghum,belg,Sidama,2017,7.98,1682.8,22.7,175.9,16424.5
maize,belg,Tigray,2020,18.72,1061.6,30.5,56.6,58535.8
chickpea,meher,Tigray,2023,9.94,798.7,29.1,75.4,13824.2
coffee,meher,Afar,2018,11.65,650.3,29.4,8.7,8665.9
sesame,belg,Afar,2017,10.16,355.5,22.6,118.0,6544.8
maize,belg,Oromia,2023,18.25,323.0,13.6,174.2,63959.9
barley,belg,Sidama,2021,13.17,1577.6,31.3,171.9,31361.8
sesame,belg,Afar,2022,17.51,353.8,11.7,126.2,17532.2
maize,belg,Oromia,2016,9.15,1341.0,32.6,9.2,22786.9
teff,belg,SNNPR,2020,8.9,666.3,20.3,136.4,16210.6
sesame,meher,Tigray,2024,3.29,991.7,16.3,51.1,2888.2
teff,belg,SNNPR,2023,3.58,962.6,18.6,117.5,5928.0
barley,belg,SNNPR,2018,19.99,1580.0,12.7,76.3,38897.2
coffee,belg,Afar,2019,0.93,1545.1,19.9,1.6,1232.8
teff,belg,SNNPR,2018,12.34,828.5,25.9,124.2,18146.6
wheat,meher,Afar,2015,6.52,961.2,24.5,146.5,19868.4
sesame,meher,Amhara,2017,15.84,1614.7,19.1,100.4,20283.0
barley,meher,SNNPR,2022,19.36,742.7,31.8,160.8,37313.5
sorghum,belg,Sidama,2020,2.26,891.9,16.6,24.7,4612.6
coffee,belg,Sidama,2021,16.54,1710.4,12.7,46.8,25116.8
coffee,meher,Afar,2016,12.89,996.4,27.5,129.8,16298.9
maize,meher,Oromia,2015,6.44,1038.9,12.4,177.5,25390.9
sesame,meher,Tigray,2016,16.76,1223.5,33.5,55.9,15479.0
coffee,meher,Tigray,2022,19.04,1583.2,12.5,137.1,20093.7
coffee,meher,Tigray,2019,4.2,483.2,31.2,90.9,3191.0
sorghum,meher,Oromia,2020,5.25,488.9,24.1,13.7,9963.2
sorghum,meher,SNNPR,2017,15.88,1194.0,16.9,196.8,37629.5
wheat,belg,Amhara,2016,13.39,338.7,10.4,158.0,32947.5
wheat,belg,Oromia,2017,14.96,1089.1,28.6,95.2,44463.6
coffee,meher,Tigray,2023,4.82,1222.7,28.2,181.8,6596.8
teff,meher,Tigray,2021,8.81,461.9,27.8,88.7,11798.7
maize,belg,Sidama,2017,1.78,712.5,25.8,109.7,4763.4
barley,belg,Sidama,2024,8.89,1489.6,12.9,130.9,27060.5
sorghum,belg,Tigray,2018,8.57,1541.1,20.0,145.9,21696.9
barley,belg,Amhara,2022,1.81,1547.7,12.3,19.3,4014.1
coffee,meher,Sidama,2015,11.94,1142.4,18.2,24.4,10983.9
sesame,meher,SNNPR,2024,6.59,455.4,22.7,30.9,4959.0
chickpea,meher,Oromia,2020,16.98,851.3,29.1,114.8,23995.3
teff,belg,Oromia,2017,5.83,1443.6,33.0,70.2,7935.5
wheat,meher,Sidama,2021,1.86,1411.5,34.3,18.4,4022.7
chickpea,belg,Amhara,2020,6.58,786.6,33.5,119.2,7827.7
teff,meher,Amhara,2024,1.47,422.4,21.1,84.8,2007.3
sorghum,meher,SNNPR,2021,2.66,1317.3,24.8,105.4,5945.3
barley,meher,Amhara,2021,19.7,382.2,15.1,189.1,40425.6
barley,belg,Oromia,2015,10.2,946.0,13.2,106.5,15671.7
sorghum,belg,Oromia,2021,17.3,363.5,10.5,184.2,40963.1
sesame,belg,SNNPR,2016,8.4,1749.3,14.3,189.5,11198.8
chickpea,belg,Oromia,2021,16.97,665.0,24.7,104.8,19595.4
coffee,meher,SNNPR,2017,1.99,1249.8,23.3,38.8,2444.3
coffee,belg,Afar,2017,5.11,519.7,14.9,120.5,5085.8
wheat,belg,Tigray,2024,15.32,973.4,33.1,112.9,31568.7
coffee,belg,Amhara,2022,1.83,963.3,17.6,54.9,2172.8
barley,belg,Tigray,2015,1.61,1547.5,11.9,172.9,4010.2
maize,belg,Tigray,2024,11.31,1487.7,32.4,89.9,42975.3
coffee,belg,Sidama,2017,19.18,975.8,30.3,167.5,20755.7
maize,meher,Oromia,2018,14.3,1786.5,23.1,122.0,45457.7
sesame,belg,SNNPR,2024,1.52,1246.3,18.4,65.9,1773.0
sesame,belg,SNNPR,2024,17.53,800.0,24.6,28.3,9997.2
sesame,meher,Sidama,2016,6.54,865.0,29.8,162.6,8098.2
maize,belg,Sidama,2020,0.86,763.3,33.8,68.3,2761.3
wheat,meher,Oromia,2019,16.97,451.7,29.3,167.0,39621.8
teff,belg,Sidama,2017,12.15,531.4,14.5,138.6,15583.5
chickpea,meher,Tigray,2020,13.69,656.3,21.1,57.0,12596.1
chickpea,meher,Sidama,2018,6.53,1512.9,21.7,167.0,9979.5
chickpea,belg,SNNPR,2021,10.31,928.0,14.1,39.9,14720.6
wheat,belg,Oromia,2022,17.55,1131.8,12.6,169.2,52471.2
wheat,belg,Tigray,2023,3.37,956.2,33.7,44.4,7281.4
chickpea,belg,Oromia,2021,1.54,1053.0,15.9,198.9,2431.8
maize,belg,Amhara,2017,1.25,1676.1,21.8,166.2,5055.2
chickpea,belg,Sidama,2015,18.16,328.5,15.4,29.9,19930.2
sesame,meher,SNNPR,2018,6.37,371.6,20.5,158.8,5416.8
chickpea,meher,Oromia,2022,12.14,324.7,22.9,48.4,13666.1
coffee,meher,Sidama,2021,4.15,1302.3,23.1,72.1,5713.9
teff,belg,Tigray,2015,12.9,1771.6,16.3,3.2,24003.4
maize,belg,Amhara,2015,7.37,807.8,26.1,166.1,23055.8
chickpea,belg,Afar,2017,16.32,394.7,29.4,91.5,17010.6
sorghum,meher,SNNPR,2019,10.55,1783.7,23.6,50.7,27247.5
sorghum,belg,SNNPR,2015,17.38,797.9,13.1,73.6,42230.8
sesame,belg,Amhara,2022,14.0,851.0,29.9,53.3,8740.8
maize,belg,Oromia,2021,12.25,1533.5,23.6,64.2,52042.7
barley,belg,Sidama,2021,3.75,965.9,21.2,145.4,9034.9
coffee,belg,SNNPR,2015,1.96,1256.3,19.1,160.2,2540.9
wheat,belg,Oromia,2017,1.81,1467.8,19.2,76.6,3643.7
teff,meher,Afar,2022,19.0,858.0,29.1,114.8,28136.7
barley,meher,Oromia,2015,14.85,1048.6,19.7,112.3,31120.0
barley,belg,Afar,2022,4.68,1217.8,27.3,199.7,11380.7
maize,belg,Amhara,2022,19.95,1515.8,34.2,197.3,80662.5
coffee,meher,Sidama,2023,6.16,749.9,13.9,141.9,6699.1
coffee,meher,Oromia,2018,15.95,655.1,22.4,72.2,14946.6
coffee,belg,Sidama,2017,12.43,429.3,17.7,199.9,14355.7
sesame,meher,Amhara,2020,13.03,975.0,27.0,68.9,9661.1
wheat,meher,Tigray,2023,18.26,383.1,13.1,30.6,42702.6
sorghum,belg,Sidama,2019,17.0,675.9,25.9,110.2,40715.1
wheat,belg,Sidama,2023,2.32,1261.5,24.8,116.1,7127.6
coffee,meher,Oromia,2016,1.39,1262.2,24.4,130.2,2141.5
sesame,meher,Tigray,2023,6.15,1735.0,22.1,160.9,8854.2
maize,meher,Amhara,2022,8.6,996.7,18.5,28.7,25179.0
coffee,belg,Tigray,2017,15.33,1072.5,12.7,48.3,16804.4
wheat,meher,Oromia,2019,18.94,1596.2,20.5,192.5,65362.8
wheat,belg,Sidama,2020,4.2,539.0,34.9,93.4,11095.3
maize,belg,Sidama,2022,19.35,622.7,18.8,10.1,52603.8
chickpea,belg,SNNPR,2023,0.66,461.2,13.3,52.9,564.1
teff,belg,Oromia,2024,11.46,843.8,17.2,77.3,20737.2
chickpea,belg,Sidama,2024,2.82,1762.6,19.8,159.0,4631.5
wheat,meher,Sidama,2023,8.33,360.4,11.0,142.7,26133.8
chickpea,belg,Amhara,2024,17.92,509.7,33.3,63.7,14245.3
barley,belg,Sidama,2023,10.88,1363.1,17.5,163.1,28270.4
coffee,belg,Afar,2016,19.61,1175.6,29.9,145.1,25151.4
chickpea,belg,Afar,2024,11.76,1382.1,24.6,34.1,15800.9
sesame,meher,Afar,2018,1.12,1722.3,12.7,3.8,1025.3
sorghum,belg,Sidama,2024,18.45,1609.2,28.4,12.5,44598.6
wheat,meher,Sidama,2020,19.96,1017.6,19.4,191.3,49823.2
coffee,belg,Sidama,2022,4.25,669.8,24.0,45.0,4131.8
barley,belg,Afar,2018,13.96,1033.5,22.0,112.1,35868.8
barley,meher,Sidama,2023,7.9,1770.2,30.5,190.9,18683.9
wheat,belg,Oromia,2019,19.13,418.5,33.1,131.2,46002.3
barley,belg,Amhara,2016,12.51,1180.2,16.1,134.0,25160.6
sorghum,meher,Oromia,2016,8.56,1376.0,12.5,154.2,24417.4
wheat,belg,Afar,2022,9.81,599.2,34.1,64.2,22695.4
teff,meher,Afar,2024,5.03,1408.0,31.3,7.5,9197.8
wheat,meher,Tigray,2022,4.13,1423.5,31.8,57.9,10200.2
teff,meher,SNNPR,2024,12.25,1692.7,18.4,90.9,22751.3
wheat,belg,SNNPR,2018,16.27,796.0,28.3,129.7,37221.2
wheat,meher,Afar,2020,15.92,1151.7,28.9,35.1,47756.5
sesame,belg,Oromia,2021,13.55,577.2,13.5,64.7,6357.8
sorghum,meher,SNNPR,2021,5.09,1430.6,33.9,60.4,11284.7
coffee,meher,Oromia,2016,9.58,539.6,27.2,184.6,11104.8
barley,meher,Afar,2019,7.67,631.3,33.9,95.6,7789.8
coffee,belg,Afar,2023,18.3,1436.0,30.0,165.1,28550.4
sorghum,meher,Sidama,2022,10.8,842.7,32.9,22.4,23947.0
sorghum,meher,Amhara,2020,17.16,962.8,27.0,143.4,30519.0
chickpea,meher,Sidama,2022,16.27,980.1,22.8,91.4,25387.7
barley,meher,Tigray,2019,16.42,1418.7,24.5,9.1,35130.2
coffee,meher,Sidama,2015,18.72,403.5,33.3,6.3,7364.7
sesame,belg,Tigray,2022,17.46,1660.2,19.4,136.5,25207.3
wheat,belg,Oromia,2017,19.86,889.6,13.2,195.7,61573.7
barley,belg,Afar,2023,8.77,868.9,15.7,92.1,13791.7
wheat,belg,Amhara,2016,1.13,1290.3,25.4,187.2,3636.3
maize,meher,Sidama,2015,9.21,1308.0,31.8,48.9,29009.3
teff,belg,Tigray,2018,11.03,1431.6,29.4,28.0,20690.7
coffee,belg,Amhara,2019,17.59,1778.5,23.0,82.7,26017.6
barley,meher,Sidama,2024,17.65,1667.4,25.6,85.4,27951.6
sesame,belg,Afar,2021,8.46,749.8,14.6,107.6,7154.3
sorghum,meher,SNNPR,2017,16.21,1672.1,24.1,193.6,42967.4
sorghum,belg,Amhara,2020,13.11,1683.3,31.2,18.5,28905.8
sorghum,meher,SNNPR,2021,13.64,1204.4,31.8,37.6,29245.8
sorghum,belg,Amhara,2020,6.41,1663.5,15.3,38.0,11920.1
maize,belg,Amhara,2024,14.22,894.9,16.0,64.3,45472.5
coffee,belg,SNNPR,2020,10.5,1045.9,12.5,196.3,15693.7
chickpea,belg,Amhara,2020,6.6,368.6,31.6,148.3,8993.0
sesame,belg,Amhara,2018,6.93,869.8,30.8,99.9,5954.5
coffee,belg,Tigray,2022,9.49,1399.2,18.8,28.0,10241.9
teff,meher,Oromia,2015,15.4,918.6,31.1,46.3,22873.9
wheat,meher,Amhara,2023,9.39,390.7,25.9,186.8,29068.2
teff,meher,Sidama,2023,8.52,325.1,28.1,107.1,11197.1
barley,meher,Sidama,2021,16.22,1664.7,12.7,19.3,35022.6
barley,belg,SNNPR,2021,2.04,1738.9,21.5,48.6,4960.1
sorghum,belg,Afar,2016,13.25,1587.3,29.0,18.7,26241.2
teff,meher,Afar,2017,2.11,1568.0,26.1,66.3,4447.4
maize,meher,Amhara,2018,18.07,1338.4,24.2,54.2,75273.6
barley,meher,Amhara,2020,0.81,610.7,13.6,164.1,1474.6
sesame,meher,SNNPR,2017,11.5,1150.0,31.2,135.4,10815.8
wheat,meher,Sidama,2020,1.55,955.6,31.0,68.1,3732.7
sesame,belg,Oromia,2019,15.78,975.8,15.7,110.6,14274.5
sesame,meher,Sidama,2019,16.06,1369.7,12.1,30.8,14515.8
wheat,belg,SNNPR,2020,2.58,307.8,17.7,72.0,5920.7
wheat,belg,Tigray,2023,11.32,912.1,10.7,70.8,29916.6
maize,belg,Tigray,2015,6.19,881.7,12.1,180.2,28682.2
wheat,belg,Amhara,2017,5.74,702.6,13.6,33.4,10102.2
barley,belg,SNNPR,2022,15.76,841.7,33.6,144.2,25679.5
chickpea,meher,Amhara,2019,0.63,893.5,31.0,76.0,755.0
coffee,belg,SNNPR,2021,16.4,1589.3,34.4,27.2,15695.4
sorghum,belg,SNNPR,2017,19.31,1753.1,17.3,139.0,64021.8
chickpea,meher,SNNPR,2021,5.97,1478.8,19.1,186.4,11760.1
wheat,meher,Afar,2022,18.89,614.5,29.9,166.3,71760.1
maize,belg,Afar,2022,3.21,754.2,16.3,30.8,8858.4
chickpea,belg,Sidama,2021,10.92,1685.2,31.7,83.7,17388.8
teff,belg,Afar,2023,12.08,1671.6,12.7,49.6,21307.0
teff,belg,SNNPR,2021,2.57,447.9,15.6,149.4,3906.3
sorghum,belg,SNNPR,2021,9.53,1319.3,27.3,30.1,24281.7
barley,belg,Oromia,2016,16.71,1395.2,18.7,68.6,36020.2
sorghum,belg,SNNPR,2022,2.4,1383.0,21.3,13.4,6504.6
teff,belg,Afar,2016,13.7,546.5,34.6,48.8,19588.3
wheat,meher,SNNPR,2023,8.81,993.1,29.9,126.0,25361.9
sesame,meher,Afar,2024,17.72,974.4,20.7,0.9,15842.8
sorghum,meher,SNNPR,2016,11.76,1499.3,23.4,73.2,29281.2
chickpea,belg,Sidama,2021,12.42,1180.5,18.7,169.1,21140.9
wheat,belg,Sidama,2024,2.15,500.9,12.9,61.1,5423.8
sesame,belg,Sidama,2017,11.71,934.6,22.2,107.5,13665.3
wheat,meher,Tigray,2019,3.24,771.9,21.3,10.7,7689.8
wheat,meher,Tigray,2023,10.36,1042.5,27.1,83.1,27629.5
chickpea,belg,Amhara,2016,11.53,1493.8,15.5,6.5,15193.2
chickpea,belg,Sidama,2023,2.71,471.3,29.4,164.7,3804.2
coffee,meher,Afar,2022,11.15,1784.7,12.6,166.0,17492.6
teff,belg,SNNPR,2020,17.31,430.5,31.6,23.5,18656.6
sorghum,meher,Afar,2024,13.94,1591.6,25.3,85.6,29123.4
sorghum,meher,Sidama,2020,10.88,1195.3,14.2,195.8,23718.4
barley,belg,Sidama,2019,19.07,1071.6,32.5,163.0,46811.9
sesame,meher,SNNPR,2017,14.18,499.0,13.7,64.4,10602.3
sorghum,belg,Tigray,2017,11.76,703.1,20.4,90.4,20587.2
maize,belg,Sidama,2019,14.05,1616.0,21.4,97.6,42507.4
teff,meher,Afar,2022,12.88,1345.9,31.3,159.1,19368.5
sorghum,belg,SNNPR,2020,16.65,806.6,24.4,113.2,45315.7
chickpea,belg,Afar,2015,1.4,1239.3,30.9,3.3,1733.0
chickpea,meher,Tigray,2018,19.92,1664.1,32.1,60.4,27960.3
barley,meher,Afar,2020,5.38,857.8,32.6,33.1,8411.7
sorghum,belg,Afar,2016,14.22,301.6,21.9,26.5,28734.2
sorghum,belg,Oromia,2015,14.06,1525.7,34.7,84.5,33583.6
sesame,meher,Afar,2016,2.51,851.3,17.5,76.5,2193.7
wheat,meher,Oromia,2023,11.48,1215.5,14.1,70.2,31693.5
sesame,belg,Amhara,2016,17.98,510.0,13.1,146.0,17714.3
coffee,belg,SNNPR,2017,5.33,1266.9,16.2,120.2,6824.3
teff,belg,Amhara,2023,12.34,583.0,19.8,129.2,18780.8
sorghum,belg,Tigray,2016,5.2,1257.1,11.8,177.7,14337.7
coffee,meher,Tigray,2024,8.71,1119.5,14.3,94.2,10081.6
maize,meher,Sidama,2016,0.77,623.6,33.1,189.7,2403.2
sesame,belg,Afar,2021,2.11,1104.8,25.4,55.5,2028.3
barley,meher,Sidama,2018,19.5,533.1,18.2,117.3,38258.1
maize,belg,Afar,2021,14.73,1569.7,11.4,17.2,39754.9
sesame,meher,Tigray,2024,12.37,763.9,28.5,148.1,13344.6
teff,meher,Tigray,2020,10.7,1474.5,28.0,33.4,21443.2
wheat,belg,Afar,2016,15.54,344.0,30.2,54.4,42792.9
maize,belg,Tigray,2023,7.52,1049.4,24.2,73.5,28173.6
barley,meher,Sidama,2016,4.95,1063.2,11.1,172.6,10809.4
sesame,meher,Amhara,2015,11.28,1670.9,28.5,83.9,14429.0
coffee,meher,Tigray,2020,5.79,416.8,19.3,100.4,5943.4
teff,belg,Oromia,2022,17.39,1460.3,17.8,17.3,28913.0
chickpea,meher,SNNPR,2018,6.19,1476.8,28.5,48.5,6785.1
sorghum,meher,Amhara,2015,18.68,335.9,23.5,127.2,50439.3
teff,belg,Oromia,2021,17.06,1390.8,12.6,106.0,32068.9
teff,meher,Afar,2019,2.31,1681.9,32.4,104.0,5123.4
coffee,belg,Afar,2016,11.83,1058.1,25.9,78.9,13029.8
wheat,meher,SNNPR,2019,17.09,1689.1,19.8,166.4,52435.0
coffee,belg,Tigray,2019,5.06,1715.3,13.4,154.0,7952.0
chickpea,belg,SNNPR,2021,2.85,837.4,29.3,90.4,3650.2
chickpea,belg,Oromia,2016,3.57,1329.1,30.7,139.4,6545.0
coffee,meher,Oromia,2018,19.38,894.4,11.2,59.8,19178.6
wheat,meher,Tigray,2022,11.34,1125.2,12.4,20.4,28201.2
teff,meher,Amhara,2018,16.56,858.4,25.8,128.9,27794.6
barley,meher,Oromia,2016,4.36,1269.0,30.2,18.4,9559.2
maize,meher,Tigray,2015,3.78,1160.8,30.5,79.0,10202.8
teff,belg,Afar,2021,3.87,622.1,14.7,56.0,5819.6
sorghum,belg,Tigray,2021,17.71,1018.5,12.2,76.6,36812.4
sesame,meher,Afar,2023,5.36,1791.1,23.6,3.9,5142.5
chickpea,belg,SNNPR,2024,10.3,882.6,14.5,63.8,13962.6
sorghum,meher,SNNPR,2015,16.27,1007.5,18.9,116.8,38195.9
sorghum,meher,SNNPR,2023,16.42,1675.9,11.4,199.3,47051.5
sorghum,belg,SNNPR,2017,3.93,1188.8,30.2,139.5,9600.2
coffee,meher,Sidama,2018,16.82,1515.6,34.3,108.4,21128.0
wheat,belg,Oromia,2016,1.6,1202.5,10.5,95.6,3813.5
wheat,belg,Afar,2017,18.42,1566.4,18.1,4.4,56950.8
wheat,meher,Sidama,2020,19.23,860.4,33.5,79.1,51826.7
wheat,meher,Afar,2021,15.94,1741.0,26.2,34.8,47522.7
coffee,meher,Afar,2024,16.38,867.6,28.3,58.9,16107.2
sesame,meher,Amhara,2024,6.71,1513.2,25.3,127.9,8462.6
maize,belg,Amhara,2020,15.03,657.0,34.6,33.6,47995.1
coffee,belg,Oromia,2019,4.59,1339.8,18.8,157.4,6531.7
teff,meher,Tigray,2022,14.79,1753.7,32.1,98.6,26206.7
maize,belg,Sidama,2018,3.67,410.6,31.1,59.0,12741.2
coffee,belg,Oromia,2016,7.17,1631.9,14.0,15.0,10745.7
coffee,belg,Afar,2015,8.91,1280.5,25.2,86.8,10049.3
teff,meher,SNNPR,2018,19.5,913.9,23.9,185.1,32360.2
barley,meher,Oromia,2015,8.16,1124.5,22.3,10.9,15124.9
teff,belg,Oromia,2019,16.57,1237.6,22.0,19.4,29979.5
maize,belg,Oromia,2019,15.81,1006.4,32.4,53.0,61953.4
sesame,meher,SNNPR,2021,7.7,968.7,16.6,93.0,7171.2
teff,meher,Afar,2016,2.17,815.7,23.5,194.1,4654.6
sorghum,meher,Tigray,2023,8.66,1103.3,31.7,95.0,21342.2
maize,belg,Afar,2015,10.29,1650.7,30.0,135.5,34877.7
wheat,meher,Tigray,2017,19.01,550.7,15.3,38.5,46313.6
sesame,meher,Afar,2017,16.77,686.8,32.8,182.8,16115.3
maize,meher,Tigray,2023,8.25,789.2,16.9,91.6,32496.0
sesame,meher,Tigray,2017,3.39,1181.9,29.0,187.9,3680.8
maize,meher,SNNPR,2023,17.66,1616.8,16.6,131.0,58005.7
wheat,belg,Tigray,2017,12.56,1321.2,20.0,79.2,32634.7
coffee,meher,Oromia,2022,18.46,1645.5,10.5,163.5,26556.9
chickpea,meher,Amhara,2017,6.36,1415.6,29.4,64.2,9681.3
sesame,meher,Amhara,2022,4.62,1536.0,28.5,151.9,6502.4
wheat,meher,SNNPR,2023,8.37,1470.8,23.1,113.7,20433.5
wheat,meher,Amhara,2015,5.37,984.7,33.0,140.9,13749.9
sesame,meher,Afar,2015,5.22,1033.2,21.2,192.1,7594.5
chickpea,belg,SNNPR,2017,16.83,688.0,30.8,18.1,17172.1
sorghum,meher,Afar,2018,13.72,703.6,20.2,4.0,26903.2
teff,belg,Amhara,2017,12.22,312.7,16.3,161.0,17369.3
barley,belg,Tigray,2020,9.45,627.3,17.6,104.1,24457.5
sesame,meher,Oromia,2023,19.99,1749.7,31.0,112.3,23077.9
maize,belg,Oromia,2020,19.77,1260.9,31.5,52.2,62373.1
barley,meher,Amhara,2023,15.43,1649.5,30.1,160.5,32380.0
